"Statistic Label","Year","Type of Hospital","ICD 10 Diagnostic Group","UNIT","VALUE"
"Psychiatric In-patients (%)","2020","Central Mental Hospital, Dublin","Schizophrenia, schizotypal and delusional disorders","%","77.5"
"Psychiatric In-patients (%)","2020","Central Mental Hospital, Dublin","Depressive disorders","%","3.9"
"Psychiatric In-patients (%)","2020","Central Mental Hospital, Dublin","Mania","%","8.8"
"Psychiatric In-patients (%)","2020","Central Mental Hospital, Dublin","Neuroses","%","1"
"Psychiatric In-patients (%)","2020","Central Mental Hospital, Dublin","Personality and behavioural disorders","%","2"
"Psychiatric In-patients (%)","2020","Central Mental Hospital, Dublin","Alcoholic disorders","%","1"
"Psychiatric In-patients (%)","2020","Central Mental Hospital, Dublin","Other drug disorders","%","0"
"Psychiatric In-patients (%)","2020","Central Mental Hospital, Dublin","Eating disorders","%","0"
"Psychiatric In-patients (%)","2020","Central Mental Hospital, Dublin","Intellectual disability","%","0"
"Psychiatric In-patients (%)","2020","Central Mental Hospital, Dublin","Development disorders","%","4.9"
"Psychiatric In-patients (%)","2020","Central Mental Hospital, Dublin","Behavioural, emotional disorders of childhood and adolescence","%","0"
"Psychiatric In-patients (%)","2020","Central Mental Hospital, Dublin","Other and unspecified","%","0"
"Psychiatric In-patients (%)","2020","Central Mental Hospital, Dublin","All disorders","%","100"
"Psychiatric In-patients (%)","2020","St Joseph's Intellectual Disability Service","Organic mental disorders","%","0"
"Psychiatric In-patients (%)","2020","St Joseph's Intellectual Disability Service","Schizophrenia, schizotypal and delusional disorders","%","0"
"Psychiatric In-patients (%)","2020","St Joseph's Intellectual Disability Service","Depressive disorders","%","0"
"Psychiatric In-patients (%)","2020","St Joseph's Intellectual Disability Service","Mania","%","0"
"Psychiatric In-patients (%)","2020","St Joseph's Intellectual Disability Service","Neuroses","%","0"
"Psychiatric In-patients (%)","2020","St Joseph's Intellectual Disability Service","Personality and behavioural disorders","%","0"
"Psychiatric In-patients (%)","2020","St Joseph's Intellectual Disability Service","Alcoholic disorders","%","0"
"Psychiatric In-patients (%)","2020","St Joseph's Intellectual Disability Service","Other drug disorders","%","0"
"Psychiatric In-patients (%)","2020","St Joseph's Intellectual Disability Service","Eating disorders","%","0"
"Psychiatric In-patients (%)","2020","St Joseph's Intellectual Disability Service","Intellectual disability","%","95.7"
"Psychiatric In-patients (%)","2020","St Joseph's Intellectual Disability Service","Development disorders","%","0"
"Psychiatric In-patients (%)","2020","St Joseph's Intellectual Disability Service","Behavioural, emotional disorders of childhood and adolescence","%","0"
"Psychiatric In-patients (%)","2020","St Joseph's Intellectual Disability Service","Other and unspecified","%","4.3"
"Psychiatric In-patients (%)","2020","St Joseph's Intellectual Disability Service","All disorders","%","100"
"Psychiatric In-patients (%)","2020","Carraig Mór, Cork","Organic mental disorders","%","0"
"Psychiatric In-patients (%)","2020","Carraig Mór, Cork","Schizophrenia, schizotypal and delusional disorders","%","70"
"Psychiatric In-patients (%)","2020","Carraig Mór, Cork","Depressive disorders","%","0"
"Psychiatric In-patients (%)","2020","Carraig Mór, Cork","Mania","%","20"
"Psychiatric In-patients (%)","2020","Carraig Mór, Cork","Neuroses","%","0"
"Psychiatric In-patients (%)","2020","Carraig Mór, Cork","Personality and behavioural disorders","%","0"
"Psychiatric In-patients (%)","2020","Carraig Mór, Cork","Alcoholic disorders","%","0"
"Psychiatric In-patients (%)","2020","Carraig Mór, Cork","Other drug disorders","%","0"
"Psychiatric In-patients (%)","2020","Carraig Mór, Cork","Eating disorders","%","0"
"Psychiatric In-patients (%)","2020","Carraig Mór, Cork","Intellectual disability","%","10"
"Psychiatric In-patients (%)","2020","Carraig Mór, Cork","Development disorders","%","0"
"Psychiatric In-patients (%)","2020","Carraig Mór, Cork","Behavioural, emotional disorders of childhood and adolescence","%","0"
"Psychiatric In-patients (%)","2020","Carraig Mór, Cork","Other and unspecified","%","0"
"Psychiatric In-patients (%)","2020","Carraig Mór, Cork","All disorders","%","100"
"Psychiatric In-patients (%)","2020","Total psychiatric hospitals","Organic mental disorders","%","9.9"
"Psychiatric In-patients (%)","2020","Total psychiatric hospitals","Schizophrenia, schizotypal and delusional disorders","%","37.4"
"Psychiatric In-patients (%)","2020","Total psychiatric hospitals","Depressive disorders","%","12.8"
"Psychiatric In-patients (%)","2020","Total psychiatric hospitals","Mania","%","7.4"
"Psychiatric In-patients (%)","2020","Total psychiatric hospitals","Neuroses","%","4.2"
"Psychiatric In-patients (%)","2020","Total psychiatric hospitals","Personality and behavioural disorders","%","4"
"Psychiatric In-patients (%)","2020","Total psychiatric hospitals","Alcoholic disorders","%","2.9"
"Psychiatric In-patients (%)","2020","Total psychiatric hospitals","Other drug disorders","%","1.7"
"Psychiatric In-patients (%)","2020","Total psychiatric hospitals","Eating disorders","%","1.3"
"Psychiatric In-patients (%)","2020","Total psychiatric hospitals","Intellectual disability","%","4.7"
"Psychiatric In-patients (%)","2020","Total psychiatric hospitals","Development disorders","%","0.6"
"Psychiatric In-patients (%)","2020","Total psychiatric hospitals","Behavioural, emotional disorders of childhood and adolescence","%","0.1"
"Psychiatric In-patients (%)","2020","Total psychiatric hospitals","Other and unspecified","%","13.4"
"Psychiatric In-patients (%)","2020","Total psychiatric hospitals","All disorders","%","100"
"Psychiatric In-patients (%)","2020","General hospital psychiatric units","Organic mental disorders","%","6.2"
"Psychiatric In-patients (%)","2020","General hospital psychiatric units","Schizophrenia, schizotypal and delusional disorders","%","36.5"
"Psychiatric In-patients (%)","2020","General hospital psychiatric units","Depressive disorders","%","16.6"
"Psychiatric In-patients (%)","2020","General hospital psychiatric units","Mania","%","12.1"
"Psychiatric In-patients (%)","2020","General hospital psychiatric units","Neuroses","%","4.8"
"Psychiatric In-patients (%)","2020","General hospital psychiatric units","Personality and behavioural disorders","%","4.6"
"Psychiatric In-patients (%)","2020","General hospital psychiatric units","Alcoholic disorders","%","1.1"
"Psychiatric In-patients (%)","2020","General hospital psychiatric units","Other drug disorders","%","3.2"
"Psychiatric In-patients (%)","2020","General hospital psychiatric units","Eating disorders","%","1.1"
"Psychiatric In-patients (%)","2020","General hospital psychiatric units","Intellectual disability","%","0.6"
"Psychiatric In-patients (%)","2020","General hospital psychiatric units","Development disorders","%","0.5"
"Psychiatric In-patients (%)","2020","General hospital psychiatric units","Behavioural, emotional disorders of childhood and adolescence","%","0.2"
"Psychiatric In-patients (%)","2020","General hospital psychiatric units","Other and unspecified","%","12.6"
"Psychiatric In-patients (%)","2020","General hospital psychiatric units","All disorders","%","100"
"Psychiatric In-patients (%)","2020","Psychiatric hospitals/continuing care units","Organic mental disorders","%","14.8"
"Psychiatric In-patients (%)","2020","Psychiatric hospitals/continuing care units","Schizophrenia, schizotypal and delusional disorders","%","50.4"
"Psychiatric In-patients (%)","2020","Psychiatric hospitals/continuing care units","Depressive disorders","%","7.2"
"Psychiatric In-patients (%)","2020","Psychiatric hospitals/continuing care units","Mania","%","5.1"
"Psychiatric In-patients (%)","2020","Psychiatric hospitals/continuing care units","Neuroses","%","2.3"
"Psychiatric In-patients (%)","2020","Psychiatric hospitals/continuing care units","Personality and behavioural disorders","%","3.2"
"Psychiatric In-patients (%)","2020","Psychiatric hospitals/continuing care units","Alcoholic disorders","%","1.9"
"Psychiatric In-patients (%)","2020","Psychiatric hospitals/continuing care units","Other drug disorders","%","0.2"
"Psychiatric In-patients (%)","2020","Psychiatric hospitals/continuing care units","Eating disorders","%","0.2"
"Psychiatric In-patients (%)","2020","Psychiatric hospitals/continuing care units","Intellectual disability","%","2.3"
"Psychiatric In-patients (%)","2020","Psychiatric hospitals/continuing care units","Development disorders","%","0.4"
"Psychiatric In-patients (%)","2020","Psychiatric hospitals/continuing care units","Behavioural, emotional disorders of childhood and adolescence","%","0"
"Psychiatric In-patients (%)","2020","Psychiatric hospitals/continuing care units","Other and unspecified","%","12"
"Psychiatric In-patients (%)","2020","Psychiatric hospitals/continuing care units","All disorders","%","100"
"Psychiatric In-patients (%)","2020","Private hospitals","Organic mental disorders","%","12.7"
"Psychiatric In-patients (%)","2020","Private hospitals","Schizophrenia, schizotypal and delusional disorders","%","18"
"Psychiatric In-patients (%)","2020","Private hospitals","Depressive disorders","%","18.7"
"Psychiatric In-patients (%)","2020","Private hospitals","Mania","%","4.2"
"Psychiatric In-patients (%)","2020","Private hospitals","Neuroses","%","7.1"
"Psychiatric In-patients (%)","2020","Private hospitals","Personality and behavioural disorders","%","5.4"
"Psychiatric In-patients (%)","2020","Private hospitals","Alcoholic disorders","%","7.4"
"Psychiatric In-patients (%)","2020","Private hospitals","Other drug disorders","%","2.2"
"Psychiatric In-patients (%)","2020","Private hospitals","Eating disorders","%","3.3"
"Psychiatric In-patients (%)","2020","Private hospitals","Intellectual disability","%","0"
"Psychiatric In-patients (%)","2020","Private hospitals","Development disorders","%","0"
"Psychiatric In-patients (%)","2020","Private hospitals","Behavioural, emotional disorders of childhood and adolescence","%","0"
"Psychiatric In-patients (%)","2020","Private hospitals","Other and unspecified","%","20.9"
"Psychiatric In-patients (%)","2020","Private hospitals","All disorders","%","100"
"Psychiatric In-patients (%)","2021","Central Mental Hospital, Dublin","Organic mental disorders","%","2"
"Psychiatric In-patients (%)","2021","Central Mental Hospital, Dublin","Schizophrenia, schizotypal and delusional disorders","%","74.5"
"Psychiatric In-patients (%)","2021","Central Mental Hospital, Dublin","Depressive disorders","%","4.1"
"Psychiatric In-patients (%)","2021","Central Mental Hospital, Dublin","Mania","%","8.2"
"Psychiatric In-patients (%)","2021","Central Mental Hospital, Dublin","Neuroses","%","1"
"Psychiatric In-patients (%)","2021","Central Mental Hospital, Dublin","Personality and behavioural disorders","%","2"
"Psychiatric In-patients (%)","2021","Central Mental Hospital, Dublin","Alcoholic disorders","%","1"
"Psychiatric In-patients (%)","2021","Central Mental Hospital, Dublin","Other drug disorders","%","1"
"Psychiatric In-patients (%)","2021","Central Mental Hospital, Dublin","Eating disorders","%","0"
"Psychiatric In-patients (%)","2021","Central Mental Hospital, Dublin","Intellectual disability","%","0"
"Psychiatric In-patients (%)","2021","Central Mental Hospital, Dublin","Development disorders","%","5.1"
"Psychiatric In-patients (%)","2021","Central Mental Hospital, Dublin","Behavioural, emotional disorders of childhood and adolescence","%","0"
"Psychiatric In-patients (%)","2021","Central Mental Hospital, Dublin","Other and unspecified","%","1"
"Psychiatric In-patients (%)","2021","Central Mental Hospital, Dublin","All disorders","%","100"
"Psychiatric In-patients (%)","2021","St Joseph's Intellectual Disability Service","Organic mental disorders","%","0"
"Psychiatric In-patients (%)","2021","St Joseph's Intellectual Disability Service","Schizophrenia, schizotypal and delusional disorders","%","0"
"Psychiatric In-patients (%)","2021","St Joseph's Intellectual Disability Service","Depressive disorders","%","0"
"Psychiatric In-patients (%)","2021","St Joseph's Intellectual Disability Service","Mania","%","0"
"Psychiatric In-patients (%)","2021","St Joseph's Intellectual Disability Service","Neuroses","%","0"
"Psychiatric In-patients (%)","2021","St Joseph's Intellectual Disability Service","Personality and behavioural disorders","%","0"
"Psychiatric In-patients (%)","2021","St Joseph's Intellectual Disability Service","Alcoholic disorders","%","0"
"Psychiatric In-patients (%)","2021","St Joseph's Intellectual Disability Service","Other drug disorders","%","0"
"Psychiatric In-patients (%)","2021","St Joseph's Intellectual Disability Service","Eating disorders","%","0"
"Psychiatric In-patients (%)","2021","St Joseph's Intellectual Disability Service","Intellectual disability","%","95.3"
"Psychiatric In-patients (%)","2021","St Joseph's Intellectual Disability Service","Development disorders","%","0"
"Psychiatric In-patients (%)","2021","St Joseph's Intellectual Disability Service","Behavioural, emotional disorders of childhood and adolescence","%","0"
"Psychiatric In-patients (%)","2021","St Joseph's Intellectual Disability Service","Other and unspecified","%","4.7"
"Psychiatric In-patients (%)","2021","St Joseph's Intellectual Disability Service","All disorders","%","100"
"Psychiatric In-patients (%)","2021","Carraig Mór, Cork","Organic mental disorders","%","0"
"Psychiatric In-patients (%)","2021","Carraig Mór, Cork","Schizophrenia, schizotypal and delusional disorders","%","50"
"Psychiatric In-patients (%)","2021","Carraig Mór, Cork","Depressive disorders","%","0"
"Psychiatric In-patients (%)","2021","Carraig Mór, Cork","Mania","%","16.7"
"Psychiatric In-patients (%)","2021","Carraig Mór, Cork","Neuroses","%","16.7"
"Psychiatric In-patients (%)","2021","Carraig Mór, Cork","Personality and behavioural disorders","%","0"
"Psychiatric In-patients (%)","2021","Carraig Mór, Cork","Alcoholic disorders","%","0"
"Psychiatric In-patients (%)","2021","Carraig Mór, Cork","Other drug disorders","%","16.7"
"Psychiatric In-patients (%)","2021","Carraig Mór, Cork","Eating disorders","%","0"
"Psychiatric In-patients (%)","2021","Carraig Mór, Cork","Intellectual disability","%","0"
"Psychiatric In-patients (%)","2021","Carraig Mór, Cork","Development disorders","%","0"
"Psychiatric In-patients (%)","2021","Carraig Mór, Cork","Behavioural, emotional disorders of childhood and adolescence","%","0"
"Psychiatric In-patients (%)","2021","Carraig Mór, Cork","Other and unspecified","%","0"
"Psychiatric In-patients (%)","2021","Carraig Mór, Cork","All disorders","%","100"
"Psychiatric In-patients (%)","2021","Total psychiatric hospitals","Organic mental disorders","%","8"
"Psychiatric In-patients (%)","2021","Total psychiatric hospitals","Schizophrenia, schizotypal and delusional disorders","%","38.1"
"Psychiatric In-patients (%)","2021","Total psychiatric hospitals","Depressive disorders","%","13.4"
"Psychiatric In-patients (%)","2021","Total psychiatric hospitals","Mania","%","8"
"Psychiatric In-patients (%)","2021","Total psychiatric hospitals","Neuroses","%","5"
"Psychiatric In-patients (%)","2021","Total psychiatric hospitals","Personality and behavioural disorders","%","3.4"
"Psychiatric In-patients (%)","2021","Total psychiatric hospitals","Alcoholic disorders","%","3.2"
"Psychiatric In-patients (%)","2021","Total psychiatric hospitals","Other drug disorders","%","1.8"
"Psychiatric In-patients (%)","2021","Total psychiatric hospitals","Eating disorders","%","1.4"
"Psychiatric In-patients (%)","2021","Total psychiatric hospitals","Intellectual disability","%","3.9"
"Psychiatric In-patients (%)","2021","Total psychiatric hospitals","Development disorders","%","0.5"
"Psychiatric In-patients (%)","2021","Total psychiatric hospitals","Behavioural, emotional disorders of childhood and adolescence","%","0.1"
"Psychiatric In-patients (%)","2021","Total psychiatric hospitals","Other and unspecified","%","13.3"
"Psychiatric In-patients (%)","2021","Total psychiatric hospitals","All disorders","%","100"
"Psychiatric In-patients (%)","2021","General hospital psychiatric units","Organic mental disorders","%","3.4"
"Psychiatric In-patients (%)","2021","General hospital psychiatric units","Schizophrenia, schizotypal and delusional disorders","%","39.4"
"Psychiatric In-patients (%)","2021","General hospital psychiatric units","Depressive disorders","%","18.9"
"Psychiatric In-patients (%)","2021","General hospital psychiatric units","Mania","%","12.9"
"Psychiatric In-patients (%)","2021","General hospital psychiatric units","Neuroses","%","5.3"
"Psychiatric In-patients (%)","2021","General hospital psychiatric units","Personality and behavioural disorders","%","4.6"
"Psychiatric In-patients (%)","2021","General hospital psychiatric units","Alcoholic disorders","%","2.7"
"Psychiatric In-patients (%)","2021","General hospital psychiatric units","Other drug disorders","%","3.5"
"Psychiatric In-patients (%)","2021","General hospital psychiatric units","Eating disorders","%","1.1"
"Psychiatric In-patients (%)","2021","General hospital psychiatric units","Intellectual disability","%","0.3"
"Psychiatric In-patients (%)","2021","General hospital psychiatric units","Development disorders","%","0.3"
"Psychiatric In-patients (%)","2021","General hospital psychiatric units","Behavioural, emotional disorders of childhood and adolescence","%","0.1"
"Psychiatric In-patients (%)","2021","General hospital psychiatric units","Other and unspecified","%","7.5"
"Psychiatric In-patients (%)","2021","General hospital psychiatric units","All disorders","%","100"
"Psychiatric In-patients (%)","2021","Psychiatric hospitals/continuing care units","Organic mental disorders","%","14"
"Psychiatric In-patients (%)","2021","Psychiatric hospitals/continuing care units","Schizophrenia, schizotypal and delusional disorders","%","50.2"
"Psychiatric In-patients (%)","2021","Psychiatric hospitals/continuing care units","Depressive disorders","%","5.4"
"Psychiatric In-patients (%)","2021","Psychiatric hospitals/continuing care units","Mania","%","6.5"
"Psychiatric In-patients (%)","2021","Psychiatric hospitals/continuing care units","Neuroses","%","1.5"
"Psychiatric In-patients (%)","2021","Psychiatric hospitals/continuing care units","Personality and behavioural disorders","%","2.7"
"Psychiatric In-patients (%)","2021","Psychiatric hospitals/continuing care units","Alcoholic disorders","%","1.1"
"Psychiatric In-patients (%)","2021","Psychiatric hospitals/continuing care units","Other drug disorders","%","0.2"
"Psychiatric In-patients (%)","2021","Psychiatric hospitals/continuing care units","Eating disorders","%","0.2"
"Psychiatric In-patients (%)","2021","Psychiatric hospitals/continuing care units","Intellectual disability","%","1.8"
"Psychiatric In-patients (%)","2021","Psychiatric hospitals/continuing care units","Development disorders","%","0.4"
"Psychiatric In-patients (%)","2021","Psychiatric hospitals/continuing care units","Behavioural, emotional disorders of childhood and adolescence","%","0"
"Psychiatric In-patients (%)","2021","Psychiatric hospitals/continuing care units","Other and unspecified","%","16.1"
"Psychiatric In-patients (%)","2021","Psychiatric hospitals/continuing care units","All disorders","%","100"
"Psychiatric In-patients (%)","2021","Private hospitals","Organic mental disorders","%","10.5"
"Psychiatric In-patients (%)","2021","Private hospitals","Schizophrenia, schizotypal and delusional disorders","%","18.2"
"Psychiatric In-patients (%)","2021","Private hospitals","Depressive disorders","%","18.6"
"Psychiatric In-patients (%)","2021","Private hospitals","Mania","%","3"
"Psychiatric In-patients (%)","2021","Private hospitals","Neuroses","%","10.5"
"Psychiatric In-patients (%)","2021","Private hospitals","Personality and behavioural disorders","%","3"
"Psychiatric In-patients (%)","2021","Private hospitals","Alcoholic disorders","%","7.5"
"Psychiatric In-patients (%)","2021","Private hospitals","Other drug disorders","%","1.1"
"Psychiatric In-patients (%)","2021","Private hospitals","Eating disorders","%","4.1"
"Psychiatric In-patients (%)","2021","Private hospitals","Intellectual disability","%","0"
"Psychiatric In-patients (%)","2021","Private hospitals","Development disorders","%","0.2"
"Psychiatric In-patients (%)","2021","Private hospitals","Behavioural, emotional disorders of childhood and adolescence","%","0"
"Psychiatric In-patients (%)","2021","Private hospitals","Other and unspecified","%","23.4"
"Psychiatric In-patients (%)","2021","Private hospitals","All disorders","%","100"
"Psychiatric In-patients (%)","2022","Central Mental Hospital, Dublin","Organic mental disorders","%","1.02"
"Psychiatric In-patients (%)","2022","Central Mental Hospital, Dublin","Schizophrenia, schizotypal and delusional disorders","%","75.51"
"Psychiatric In-patients (%)","2022","Central Mental Hospital, Dublin","Depressive disorders","%","3.06"
"Psychiatric In-patients (%)","2022","Central Mental Hospital, Dublin","Mania","%","10.2"
"Psychiatric In-patients (%)","2022","Central Mental Hospital, Dublin","Neuroses","%","1.02"
"Psychiatric In-patients (%)","2022","Central Mental Hospital, Dublin","Personality and behavioural disorders","%","2.04"
"Psychiatric In-patients (%)","2022","Central Mental Hospital, Dublin","Alcoholic disorders","%","1.02"
"Psychiatric In-patients (%)","2022","Central Mental Hospital, Dublin","Other drug disorders","%","0"
"Psychiatric In-patients (%)","2022","Central Mental Hospital, Dublin","Eating disorders","%","0"
"Psychiatric In-patients (%)","2022","Central Mental Hospital, Dublin","Intellectual disability","%","0"
"Psychiatric In-patients (%)","2022","Central Mental Hospital, Dublin","Development disorders","%","5.1"
"Psychiatric In-patients (%)","2022","Central Mental Hospital, Dublin","Behavioural, emotional disorders of childhood and adolescence","%","0"
"Psychiatric In-patients (%)","2022","Central Mental Hospital, Dublin","Other and unspecified","%","1.02"
"Psychiatric In-patients (%)","2022","Central Mental Hospital, Dublin","All disorders","%","100"
"Psychiatric In-patients (%)","2022","St Joseph's Intellectual Disability Service","Organic mental disorders","%","0"
"Psychiatric In-patients (%)","2022","St Joseph's Intellectual Disability Service","Schizophrenia, schizotypal and delusional disorders","%","0"
"Psychiatric In-patients (%)","2022","St Joseph's Intellectual Disability Service","Depressive disorders","%","0"
"Psychiatric In-patients (%)","2022","St Joseph's Intellectual Disability Service","Mania","%","0"
"Psychiatric In-patients (%)","2022","St Joseph's Intellectual Disability Service","Neuroses","%","0"
"Psychiatric In-patients (%)","2022","St Joseph's Intellectual Disability Service","Personality and behavioural disorders","%","0"
"Psychiatric In-patients (%)","2022","St Joseph's Intellectual Disability Service","Alcoholic disorders","%","0"
"Psychiatric In-patients (%)","2022","St Joseph's Intellectual Disability Service","Other drug disorders","%","0"
"Psychiatric In-patients (%)","2022","St Joseph's Intellectual Disability Service","Eating disorders","%","0"
"Psychiatric In-patients (%)","2022","St Joseph's Intellectual Disability Service","Intellectual disability","%","96.43"
"Psychiatric In-patients (%)","2022","St Joseph's Intellectual Disability Service","Development disorders","%","0"
"Psychiatric In-patients (%)","2022","St Joseph's Intellectual Disability Service","Behavioural, emotional disorders of childhood and adolescence","%","0"
"Psychiatric In-patients (%)","2022","St Joseph's Intellectual Disability Service","Other and unspecified","%","3.57"
"Psychiatric In-patients (%)","2022","St Joseph's Intellectual Disability Service","All disorders","%","100"
"Psychiatric In-patients (%)","2022","Carraig Mór, Cork","Organic mental disorders","%","0"
"Psychiatric In-patients (%)","2022","Carraig Mór, Cork","Schizophrenia, schizotypal and delusional disorders","%","75"
"Psychiatric In-patients (%)","2022","Carraig Mór, Cork","Depressive disorders","%","0"
"Psychiatric In-patients (%)","2022","Carraig Mór, Cork","Mania","%","25"
"Psychiatric In-patients (%)","2022","Carraig Mór, Cork","Neuroses","%","0"
"Psychiatric In-patients (%)","2022","Carraig Mór, Cork","Personality and behavioural disorders","%","0"
"Psychiatric In-patients (%)","2022","Carraig Mór, Cork","Alcoholic disorders","%","0"
"Psychiatric In-patients (%)","2022","Carraig Mór, Cork","Other drug disorders","%","0"
"Psychiatric In-patients (%)","2022","Carraig Mór, Cork","Eating disorders","%","0"
"Psychiatric In-patients (%)","2022","Carraig Mór, Cork","Intellectual disability","%","0"
"Psychiatric In-patients (%)","2022","Carraig Mór, Cork","Development disorders","%","0"
"Psychiatric In-patients (%)","2022","Carraig Mór, Cork","Behavioural, emotional disorders of childhood and adolescence","%","0"
"Psychiatric In-patients (%)","2022","Carraig Mór, Cork","Other and unspecified","%","0"
"Psychiatric In-patients (%)","2022","Carraig Mór, Cork","All disorders","%","100"
"Psychiatric In-patients (%)","2022","Total psychiatric hospitals","Organic mental disorders","%","7.37"
"Psychiatric In-patients (%)","2022","Total psychiatric hospitals","Schizophrenia, schizotypal and delusional disorders","%","37.9"
"Psychiatric In-patients (%)","2022","Total psychiatric hospitals","Depressive disorders","%","14.48"
"Psychiatric In-patients (%)","2022","Total psychiatric hospitals","Mania","%","7.84"
"Psychiatric In-patients (%)","2022","Total psychiatric hospitals","Neuroses","%","3.92"
"Psychiatric In-patients (%)","2022","Total psychiatric hospitals","Personality and behavioural disorders","%","3.14"
"Psychiatric In-patients (%)","2022","Total psychiatric hospitals","Alcoholic disorders","%","2.98"
"Psychiatric In-patients (%)","2022","Total psychiatric hospitals","Other drug disorders","%","1.46"
"Psychiatric In-patients (%)","2022","Total psychiatric hospitals","Eating disorders","%","1.2"
"Psychiatric In-patients (%)","2022","Total psychiatric hospitals","Intellectual disability","%","3.29"
"Psychiatric In-patients (%)","2022","Total psychiatric hospitals","Development disorders","%","0.47"
"Psychiatric In-patients (%)","2022","Total psychiatric hospitals","Behavioural, emotional disorders of childhood and adolescence","%","0"
"Psychiatric In-patients (%)","2022","Total psychiatric hospitals","Other and unspecified","%","15.94"
"Psychiatric In-patients (%)","2022","Total psychiatric hospitals","All disorders","%","100"
"Psychiatric In-patients (%)","2022","General hospital psychiatric units","Organic mental disorders","%","3.49"
"Psychiatric In-patients (%)","2022","General hospital psychiatric units","Schizophrenia, schizotypal and delusional disorders","%","36.96"
"Psychiatric In-patients (%)","2022","General hospital psychiatric units","Depressive disorders","%","20.43"
"Psychiatric In-patients (%)","2022","General hospital psychiatric units","Mania","%","11.96"
"Psychiatric In-patients (%)","2022","General hospital psychiatric units","Neuroses","%","4.84"
"Psychiatric In-patients (%)","2022","General hospital psychiatric units","Personality and behavioural disorders","%","4.7"
"Psychiatric In-patients (%)","2022","General hospital psychiatric units","Alcoholic disorders","%","2.28"
"Psychiatric In-patients (%)","2022","General hospital psychiatric units","Other drug disorders","%","2.42"
"Psychiatric In-patients (%)","2022","General hospital psychiatric units","Eating disorders","%","0.81"
"Psychiatric In-patients (%)","2022","General hospital psychiatric units","Intellectual disability","%","0.4"
"Psychiatric In-patients (%)","2022","General hospital psychiatric units","Development disorders","%","0.27"
"Psychiatric In-patients (%)","2022","General hospital psychiatric units","Behavioural, emotional disorders of childhood and adolescence","%","0"
"Psychiatric In-patients (%)","2022","General hospital psychiatric units","Other and unspecified","%","11.42"
"Psychiatric In-patients (%)","2022","General hospital psychiatric units","All disorders","%","100"
"Psychiatric In-patients (%)","2022","Psychiatric hospitals/continuing care units","Organic mental disorders","%","12.79"
"Psychiatric In-patients (%)","2022","Psychiatric hospitals/continuing care units","Schizophrenia, schizotypal and delusional disorders","%","52.43"
"Psychiatric In-patients (%)","2022","Psychiatric hospitals/continuing care units","Depressive disorders","%","7.57"
"Psychiatric In-patients (%)","2022","Psychiatric hospitals/continuing care units","Mania","%","6.49"
"Psychiatric In-patients (%)","2022","Psychiatric hospitals/continuing care units","Neuroses","%","1.62"
"Psychiatric In-patients (%)","2022","Psychiatric hospitals/continuing care units","Personality and behavioural disorders","%","1.98"
"Psychiatric In-patients (%)","2022","Psychiatric hospitals/continuing care units","Alcoholic disorders","%","1.08"
"Psychiatric In-patients (%)","2022","Psychiatric hospitals/continuing care units","Other drug disorders","%","0.9"
"Psychiatric In-patients (%)","2022","Psychiatric hospitals/continuing care units","Eating disorders","%","0.18"
"Psychiatric In-patients (%)","2022","Psychiatric hospitals/continuing care units","Intellectual disability","%","1.08"
"Psychiatric In-patients (%)","2022","Psychiatric hospitals/continuing care units","Development disorders","%","0.36"
"Psychiatric In-patients (%)","2022","Psychiatric hospitals/continuing care units","Behavioural, emotional disorders of childhood and adolescence","%","0"
"Psychiatric In-patients (%)","2022","Psychiatric hospitals/continuing care units","Other and unspecified","%","13.51"
"Psychiatric In-patients (%)","2022","Psychiatric hospitals/continuing care units","All disorders","%","100"
"Psychiatric In-patients (%)","2022","Private hospitals","Organic mental disorders","%","9.43"
"Psychiatric In-patients (%)","2022","Private hospitals","Schizophrenia, schizotypal and delusional disorders","%","17.98"
"Psychiatric In-patients (%)","2022","Private hospitals","Depressive disorders","%","17.54"
"Psychiatric In-patients (%)","2022","Private hospitals","Mania","%","3.07"
"Psychiatric In-patients (%)","2022","Private hospitals","Neuroses","%","6.36"
"Psychiatric In-patients (%)","2022","Private hospitals","Personality and behavioural disorders","%","2.63"
"Psychiatric In-patients (%)","2022","Private hospitals","Alcoholic disorders","%","7.24"
"Psychiatric In-patients (%)","2022","Private hospitals","Other drug disorders","%","1.1"
"Psychiatric In-patients (%)","2022","Private hospitals","Eating disorders","%","3.51"
"Psychiatric In-patients (%)","2022","Private hospitals","Intellectual disability","%","0"
"Psychiatric In-patients (%)","2022","Private hospitals","Development disorders","%","0"
"Psychiatric In-patients (%)","2022","Private hospitals","Behavioural, emotional disorders of childhood and adolescence","%","0"
"Psychiatric In-patients (%)","2022","Private hospitals","Other and unspecified","%","31.14"
"Psychiatric In-patients (%)","2022","Private hospitals","All disorders","%","100"
