"Statistic Label","Year","Type of Hospital","Socio Economic Group","UNIT","VALUE"
"Psychiatric In-patients (%)","2022","St Joseph's Intellectual Disability Service","Manual skilled","%","0"
"Psychiatric In-patients (%)","2022","St Joseph's Intellectual Disability Service","Semi-skilled","%","0"
"Psychiatric In-patients (%)","2022","St Joseph's Intellectual Disability Service","Unskilled","%","0"
"Psychiatric In-patients (%)","2022","St Joseph's Intellectual Disability Service","Unspecified","%","100"
"Psychiatric In-patients (%)","2022","St Joseph's Intellectual Disability Service","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2022","Carraig Mór, Cork","Farmers","%","0"
"Psychiatric In-patients (%)","2022","Carraig Mór, Cork","Agricultural workers","%","0"
"Psychiatric In-patients (%)","2022","Carraig Mór, Cork","Higher professional","%","0"
"Psychiatric In-patients (%)","2022","Carraig Mór, Cork","Lower professional","%","0"
"Psychiatric In-patients (%)","2022","Carraig Mór, Cork","Employers & managers","%","0"
"Psychiatric In-patients (%)","2022","Carraig Mór, Cork","Own account workers","%","0"
"Psychiatric In-patients (%)","2022","Carraig Mór, Cork","Non-manual","%","50"
"Psychiatric In-patients (%)","2022","Carraig Mór, Cork","Manual skilled","%","0"
"Psychiatric In-patients (%)","2022","Carraig Mór, Cork","Semi-skilled","%","25"
"Psychiatric In-patients (%)","2022","Carraig Mór, Cork","Unskilled","%","0"
"Psychiatric In-patients (%)","2022","Carraig Mór, Cork","Unspecified","%","25"
"Psychiatric In-patients (%)","2022","Carraig Mór, Cork","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2022","Total psychiatric hospitals","Farmers","%","1.78"
"Psychiatric In-patients (%)","2022","Total psychiatric hospitals","Agricultural workers","%","0.26"
"Psychiatric In-patients (%)","2022","Total psychiatric hospitals","Higher professional","%","2.56"
"Psychiatric In-patients (%)","2022","Total psychiatric hospitals","Lower professional","%","5.02"
"Psychiatric In-patients (%)","2022","Total psychiatric hospitals","Employers & managers","%","1.93"
"Psychiatric In-patients (%)","2022","Total psychiatric hospitals","Own account workers","%","0.31"
"Psychiatric In-patients (%)","2022","Total psychiatric hospitals","Non-manual","%","6.85"
"Psychiatric In-patients (%)","2022","Total psychiatric hospitals","Manual skilled","%","2.46"
"Psychiatric In-patients (%)","2022","Total psychiatric hospitals","Semi-skilled","%","2.82"
"Psychiatric In-patients (%)","2022","Total psychiatric hospitals","Unskilled","%","3.03"
"Psychiatric In-patients (%)","2022","Total psychiatric hospitals","Unspecified","%","72.97"
"Psychiatric In-patients (%)","2022","Total psychiatric hospitals","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2022","General hospital psychiatric units","Farmers","%","1.61"
"Psychiatric In-patients (%)","2022","General hospital psychiatric units","Agricultural workers","%","0.13"
"Psychiatric In-patients (%)","2022","General hospital psychiatric units","Higher professional","%","2.15"
"Psychiatric In-patients (%)","2022","General hospital psychiatric units","Lower professional","%","3.76"
"Psychiatric In-patients (%)","2022","General hospital psychiatric units","Employers & managers","%","0.81"
"Psychiatric In-patients (%)","2022","General hospital psychiatric units","Own account workers","%","0.54"
"Psychiatric In-patients (%)","2022","General hospital psychiatric units","Non-manual","%","6.85"
"Psychiatric In-patients (%)","2022","General hospital psychiatric units","Manual skilled","%","3.23"
"Psychiatric In-patients (%)","2022","General hospital psychiatric units","Semi-skilled","%","3.49"
"Psychiatric In-patients (%)","2022","General hospital psychiatric units","Unskilled","%","3.23"
"Psychiatric In-patients (%)","2022","General hospital psychiatric units","Unspecified","%","74.19"
"Psychiatric In-patients (%)","2022","General hospital psychiatric units","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2022","Psychiatric hospitals/continuing care units","Farmers","%","3.06"
"Psychiatric In-patients (%)","2022","Psychiatric hospitals/continuing care units","Agricultural workers","%","0.54"
"Psychiatric In-patients (%)","2022","Psychiatric hospitals/continuing care units","Higher professional","%","1.08"
"Psychiatric In-patients (%)","2022","Psychiatric hospitals/continuing care units","Lower professional","%","4.68"
"Psychiatric In-patients (%)","2022","Psychiatric hospitals/continuing care units","Employers & managers","%","0.54"
"Psychiatric In-patients (%)","2022","Psychiatric hospitals/continuing care units","Own account workers","%","0.18"
"Psychiatric In-patients (%)","2022","Psychiatric hospitals/continuing care units","Non-manual","%","5.05"
"Psychiatric In-patients (%)","2022","Psychiatric hospitals/continuing care units","Manual skilled","%","2.16"
"Psychiatric In-patients (%)","2022","Psychiatric hospitals/continuing care units","Semi-skilled","%","2.7"
"Psychiatric In-patients (%)","2022","Psychiatric hospitals/continuing care units","Unskilled","%","4.68"
"Psychiatric In-patients (%)","2022","Psychiatric hospitals/continuing care units","Unspecified","%","75.32"
"Psychiatric In-patients (%)","2022","Psychiatric hospitals/continuing care units","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2022","Private hospitals","Farmers","%","1.1"
"Psychiatric In-patients (%)","2022","Private hospitals","Agricultural workers","%","0.22"
"Psychiatric In-patients (%)","2022","Private hospitals","Higher professional","%","5.92"
"Psychiatric In-patients (%)","2022","Private hospitals","Lower professional","%","9.21"
"Psychiatric In-patients (%)","2022","Private hospitals","Employers & managers","%","6.14"
"Psychiatric In-patients (%)","2022","Private hospitals","Own account workers","%","0.22"
"Psychiatric In-patients (%)","2022","Private hospitals","Non-manual","%","10.96"
"Psychiatric In-patients (%)","2022","Private hospitals","Manual skilled","%","2.41"
"Psychiatric In-patients (%)","2022","Private hospitals","Semi-skilled","%","2.63"
"Psychiatric In-patients (%)","2022","Private hospitals","Unskilled","%","1.75"
"Psychiatric In-patients (%)","2022","Private hospitals","Unspecified","%","59.43"
"Psychiatric In-patients (%)","2022","Private hospitals","All socio-economic groups","%","100"
